time_utc,timestamp,side,price,size,usd_volume,q_yes,q_no,exposure,locked_pnl,tx_hash,outcome
2025-12-12T22:51:52,1765579912,YES,0.2299999589501278,16.565216,3.809999,1082.613245,1384.379986,1273.8384719999992,-191.22522699999922,0x70554e61216719ac92091ae70317c5bf318e7e510eda5645a030f1a8d69b57d0,up
2025-12-12T22:51:54,1765579914,YES,0.24,10.0,2.4,1092.613245,1384.379986,1276.2384719999993,-183.6252269999993,0x4d459ab093120e6a7f304198dc55974348884d1508626c3a421f9796deb8a0a5,up
2025-12-12T22:51:54,1765579914,YES,0.2699999668965494,19.333332,5.219999,1111.946577,1384.379986,1281.4584709999992,-169.5118939999993,0x896d1d7252ae6c9201c7e5c1e526bbbc2cc0de8bc4dbb0c8cfa62b0878b9881a,up
2025-12-12T22:51:54,1765579914,YES,0.24,1.0,0.24,1112.946577,1384.379986,1281.6984709999992,-168.7518939999993,0xd0c08887c12ed5191e543e25547dcf613b1b3280e2a143d59acbc7a151ece079,up
2025-12-12T22:51:54,1765579914,NO,0.77,180.0,138.6,1112.946577,1564.379986,1420.2984709999992,-307.3518939999992,0x23d530e2fe0c8455be7d820c9a2d487ea2a911a0130519b2f296b3c26daea271,down
2025-12-12T22:51:54,1765579914,NO,0.75,20.8,15.600000000000001,1112.946577,1585.1799859999999,1435.898470999999,-322.95189399999913,0x51ff8e12de236be4fc34059e5c1ac3d3b695c576b0a4e8c6c38ce7064d4a2452,down
2025-12-12T22:51:54,1765579914,YES,0.26,5.0,1.3,1117.946577,1585.1799859999999,1437.198470999999,-319.2518939999991,0x3cb7fe4936cb5a165d420ede19aea960c3f5cc1fe769fab8c45292fb36fb9dbb,up
2025-12-12T22:53:14,1765579994,YES,0.32,5.36,1.7152,1123.3065769999998,1585.1799859999999,1438.913670999999,-315.6070939999993,0x0c49bb48d3210f6c9d1e55ddd019edbe2932711c36ecf6a8b3e306d6ad6f89e7,up
2025-12-12T22:53:14,1765579994,NO,0.68,1.98,1.3464,1123.3065769999998,1587.159986,1440.260070999999,-316.9534939999992,0x4febeb590fe6df00f9f5f30c90f1f8316d4d10133cbc46e4dbeea49cd8b0cae9,down
2025-12-12T22:53:14,1765579994,NO,0.68,8.0,5.44,1123.3065769999998,1595.159986,1445.700070999999,-322.39349399999924,0x038969de04dfb10c300bfba39f3453f6e355d7dbf1c46867b3f12c98b50cc213,down
2025-12-12T22:53:16,1765579996,YES,0.32,6.89,2.2048,1130.196577,1595.159986,1447.904870999999,-317.7082939999991,0x696fc8ba5b96a38be8d671e2ddd6b82e67bf8735b3da90a642f070162735e9e7,up
2025-12-12T22:53:16,1765579996,NO,0.68,5.0,3.4000000000000004,1130.196577,1600.159986,1451.3048709999991,-321.1082939999992,0xd9c6a01522407be80e046664825663217fdf8feda910b18d10c89edbde744584,down
2025-12-12T22:53:18,1765579998,YES,0.32,5.0,1.6,1135.196577,1600.159986,1452.904870999999,-317.7082939999991,0x52d55d2845fbee406c2023e8372afb656e96b15a475a77597d4a52d9da8c8afd,up
2025-12-12T22:53:18,1765579998,NO,0.6698474191104858,92.41,61.9006,1135.196577,1692.569986,1514.805470999999,-379.60889399999905,0x4f52372a5d9f1f189ea93fe219bbf318f4a64588e121043b6074a8d27328b218,down
2025-12-12T22:53:20,1765580000,YES,0.31,10.53,3.2643,1145.726577,1692.569986,1518.069770999999,-372.34319399999913,0xc0f3a9ba87d3abd2d4ec50264656cb021b25020e1870025769ad38f44138f8f5,up
2025-12-12T22:53:20,1765580000,YES,0.32,5.0,1.6,1150.726577,1692.569986,1519.669770999999,-368.94319399999904,0xeff63068fd6db13ea683dbb8c1056428b671324f02f71391bd79605e5f6d58e9,up
2025-12-12T22:53:20,1765580000,YES,0.3299999295999915,9.090908,2.999999,1159.8174849999998,1692.569986,1522.6697699999988,-362.85228499999903,0xf578cbd272c4c62ce3e3d0a2d1ffb0f18fde45043053d7d6a85e78ff96a49a83,up
2025-12-12T22:53:20,1765580000,YES,0.31,100.6,31.185999999999996,1260.4174849999997,1692.569986,1553.8557699999988,-293.43828499999904,0x9078ee98d8c7ce816b953ae5859b8fed11a7d9a206ae1548384db3004cac41ec,up
2025-12-12T22:53:22,1765580002,NO,0.68,55.0,37.400000000000006,1260.4174849999997,1747.569986,1591.2557699999988,-330.83828499999913,0x99935181a3929053671fd3624561005994a6166392fbf38fae9af6dfc73c9c1c,down
2025-12-12T22:53:22,1765580002,YES,0.32,4.0,1.28,1264.4174849999997,1747.569986,1592.5357699999988,-328.1182849999991,0x63ce6990eba2afeaab53e770766332e9ab34d999727b2518b9b805b45028eb59,up
2025-12-12T22:53:24,1765580004,NO,0.68,5.0,3.4000000000000004,1264.4174849999997,1752.569986,1595.935769999999,-331.5182849999992,0x7c6ddcdf8a364f8e5520c9158bddb066bf80870142f66eb88ca8f91f91ebd808,down
2025-12-12T22:54:42,1765580082,NO,0.8021390168434822,6.233331,4.999998,1264.4174849999997,1758.8033169999999,1600.935767999999,-336.5182829999992,0xe29c63a01ffcf80cb9fd405f4e45fcfbfc91440d296613ac6aa329767e70ab77,down
2025-12-12T22:54:44,1765580084,NO,0.8399999979512192,19.523806,16.399997,1264.4174849999997,1778.3271229999998,1617.335764999999,-352.9182799999992,0xfc9631d03bdc9eff8e366f3029fab947b35afd9549669fcae34fdae351a8870d,down
2025-12-12T22:54:44,1765580084,YES,0.1699998779090676,6.470587,1.099999,1270.8880719999997,1778.3271229999998,1618.435763999999,-347.5476919999992,0x9cd51dd474e653598aa3d5601af9639fee2dd73f6d9d764cd19e12ddc9a3b8e0,up
2025-12-12T22:54:44,1765580084,NO,0.84,7.0,5.88,1270.8880719999997,1785.3271229999998,1624.315763999999,-353.4276919999993,0xe7dc5f1016f66c54b1132ed6b12fb1b78c3fc990a66f2f976cd0fa86375e625c,down
2025-12-12T22:54:44,1765580084,NO,0.83,15.0,12.45,1270.8880719999997,1800.3271229999998,1636.765763999999,-365.87769199999934,0x0b6c4a5abc96d45ca28ef7f423e28bf021c522e7a1554d69f7c45519cb87231a,down
2025-12-12T22:54:44,1765580084,NO,0.84,10.19,8.5596,1270.8880719999997,1810.5171229999999,1645.3253639999991,-374.4372919999994,0x144e6cd825488629564151a710ecae73384a7106988c169a1e75429a840ad0d2,down
2025-12-12T22:54:44,1765580084,YES,0.18999988254542038,5.789472,1.099999,1276.6775439999997,1810.5171229999999,1646.4253629999992,-369.7478189999995,0xaba2269a600d56bd6d9cbb22b8c3152f537b57f6690a94a3355448b278db1265,up
2025-12-12T22:54:44,1765580084,NO,0.84,9.69,8.1396,1276.6775439999997,1820.207123,1654.5649629999991,-377.88741899999945,0xa2011cef4a6a05cec48286c3ec8b74ab51d5e210735b99e2766fb31aa3cea373,down
2025-12-12T22:54:44,1765580084,NO,0.8399999957575744,18.857137,15.839995000000002,1276.6775439999997,1839.0642599999999,1670.4049579999992,-393.7274139999995,0xc1bea1f94707212500e91a2296ad9591a15f4a024883d5ef8f4fd23a35bedbea,down
2025-12-12T22:54:46,1765580086,NO,0.84,10.0,8.4,1276.6775439999997,1849.0642599999999,1678.8049579999993,-402.1274139999996,0x97b17f39e1180645e7f74128dda547f4ac4f9dd9103e4a5d28fc0426fd4bb5de,down
2025-12-12T22:54:46,1765580086,NO,0.85,10.19,8.6615,1276.6775439999997,1859.25426,1687.4664579999992,-410.7889139999995,0x45fe7c218f997389b01029b6c247989590aaa40e68b27023b6f1adc5681cb2a1,down
2025-12-12T22:54:46,1765580086,YES,0.16999988517541542,6.705881,1.139999,1283.3834249999998,1859.25426,1688.6064569999992,-405.2230319999994,0x7ea9ce85f84ced600eea90900f2e99211f29e862270c4f518172f1d9ab17c810,up
2025-12-12T22:54:46,1765580086,YES,0.16650200683973743,14.294116,2.379999,1297.6775409999998,1859.25426,1690.9864559999992,-393.3089149999994,0x648c76a7f362dfc8682e07b0393837ebf6ce5d61f66e356a329767f34cf4e5de,up
2025-12-12T22:54:46,1765580086,NO,0.84,10.0,8.4,1297.6775409999998,1869.25426,1699.3864559999993,-401.7089149999995,0xea42f10a5baa6de17edf7e835d6428bbcaf368c181b293b2ec79b32d22722ed6,down
2025-12-12T22:54:48,1765580088,YES,0.16999988609996242,5.882351,0.999999,1303.5598919999998,1869.25426,1700.3864549999992,-396.8265629999994,0x23783c4518f8314158c84d96481e3047ed1738fe3bf36a9792871dfd07d8d9eb,up
2025-12-12T22:54:48,1765580088,NO,0.85,10.0,8.5,1303.5598919999998,1879.25426,1708.8864549999992,-405.3265629999994,0x8ef2c40f425cb4f0ff00c73ae8352e4d8ea775401f4fb52d2f72ffb8495befe9,down
2025-12-12T22:54:48,1765580088,NO,0.85,20.0,17.0,1303.5598919999998,1899.25426,1725.8864549999992,-422.3265629999994,0xe26322e509ca3a1872b6507e96d7b2ebe8e543e087c0b759319561a58647b278,down
